分拣中心,日期,小时,修正后时货量
SC24,2023/12/25,18,414.0
SC24,2023/12/25,19,132.0
SC24,2023/12/25,20,1.0
SC24,2023/12/25,21,0.0
SC24,2023/12/25,22,0.0
SC24,2023/12/25,23,0.0
SC24,2023/12/26,0,0.0
SC24,2023/12/26,1,0.0
SC24,2023/12/26,2,0.0
SC24,2023/12/26,3,0.0
SC24,2023/12/26,4,0.0
SC24,2023/12/26,5,0.0
SC24,2023/12/26,6,0.0
SC24,2023/12/26,7,134.0
SC24,2023/12/26,8,294.0
SC24,2023/12/26,9,221.0
SC24,2023/12/26,10,176.0
SC24,2023/12/26,11,1.0
SC24,2023/12/26,12,320.0
SC24,2023/12/26,13,179.0
SC24,2023/12/26,14,448.0
SC24,2023/12/26,15,551.0
SC24,2023/12/26,16,197.0
SC24,2023/12/26,17,0.0
SC24,2023/12/26,18,403.0
SC24,2023/12/26,19,132.0
SC24,2023/12/26,20,1.0
SC24,2023/12/26,21,0.0
SC24,2023/12/26,22,0.0
SC24,2023/12/26,23,0.0
SC24,2023/12/27,0,0.0
SC24,2023/12/27,1,0.0
SC24,2023/12/27,2,0.0
SC24,2023/12/27,3,0.0
SC24,2023/12/27,4,0.0
SC24,2023/12/27,5,0.0
SC24,2023/12/27,6,0.0
SC24,2023/12/27,7,133.0
SC24,2023/12/27,8,289.0
SC24,2023/12/27,9,213.0
SC24,2023/12/27,10,182.0
SC24,2023/12/27,11,1.0
SC24,2023/12/27,12,295.0
SC24,2023/12/27,13,569.0
SC24,2023/12/27,14,637.0
SC24,2023/12/27,15,72.0
SC24,2023/12/27,16,183.0
SC24,2023/12/27,17,2861.0
SC24,2023/12/27,18,407.0
SC24,2023/12/27,19,130.0
SC24,2023/12/27,20,1.0
SC24,2023/12/27,21,0.0
SC24,2023/12/27,22,0.0
SC24,2023/12/27,23,0.0
SC24,2023/12/28,0,0.0
SC24,2023/12/28,1,0.0
SC24,2023/12/28,2,0.0
SC24,2023/12/28,3,0.0
SC24,2023/12/28,4,0.0
SC24,2023/12/28,5,0.0
SC24,2023/12/28,6,1.0
SC24,2023/12/28,7,130.0
SC24,2023/12/28,8,283.0
SC24,2023/12/28,9,209.0
SC24,2023/12/28,10,193.0
SC24,2023/12/28,11,1.0
SC24,2023/12/28,12,284.0
SC24,2023/12/28,13,495.0
SC24,2023/12/28,14,0.0
SC24,2023/12/28,15,579.0
SC24,2023/12/28,16,186.0
SC24,2023/12/28,17,0.0
SC24,2023/12/28,18,415.0
SC24,2023/12/28,19,134.0
SC24,2023/12/28,20,0.0
SC24,2023/12/28,21,0.0
SC24,2023/12/28,22,0.0
SC24,2023/12/28,23,0.0
SC24,2023/12/29,0,0.0
SC24,2023/12/29,1,0.0
SC24,2023/12/29,2,0.0
SC24,2023/12/29,3,0.0
SC24,2023/12/29,4,0.0
SC24,2023/12/29,5,0.0
SC24,2023/12/29,6,1.0
SC24,2023/12/29,7,127.0
SC24,2023/12/29,8,277.0
SC24,2023/12/29,9,203.0
SC24,2023/12/29,10,187.0
SC24,2023/12/29,11,1.0
SC24,2023/12/29,12,284.0
SC24,2023/12/29,13,157.0
SC24,2023/12/29,14,1089.0
SC24,2023/12/29,15,26.0
SC24,2023/12/29,16,187.0
SC24,2023/12/29,17,3459.0
SC24,2023/12/29,18,401.0
SC24,2023/12/29,19,129.0
SC24,2023/12/29,20,1.0
SC24,2023/12/29,21,0.0
SC24,2023/12/29,22,0.0
SC24,2023/12/29,23,0.0
SC24,2023/12/30,0,0.0
SC24,2023/12/30,1,0.0
SC24,2023/12/30,2,0.0
SC24,2023/12/30,3,0.0
SC24,2023/12/30,4,0.0
SC24,2023/12/30,5,0.0
SC24,2023/12/30,6,1.0
SC24,2023/12/30,7,121.0
SC24,2023/12/30,8,272.0
SC24,2023/12/30,9,198.0
SC24,2023/12/30,10,169.0
SC24,2023/12/30,11,1.0
SC24,2023/12/30,12,291.0
SC24,2023/12/30,13,639.0
SC24,2023/12/30,14,0.0
SC24,2023/12/30,15,563.0
SC24,2023/12/30,16,177.0
SC24,2023/12/30,17,0.0
SC24,2023/12/30,18,389.0
SC24,2023/12/30,19,128.0
SC24,2023/12/30,20,1.0
SC24,2023/12/30,21,0.0
SC24,2023/12/30,22,0.0
SC24,2023/12/30,23,0.0
SC25,2023/12/01,0,5154.0
SC25,2023/12/01,1,1745.0
SC25,2023/12/01,2,1618.0
SC25,2023/12/01,3,2151.0
SC25,2023/12/01,4,2115.0
SC25,2023/12/01,5,428.0
SC25,2023/12/01,6,3.0
SC25,2023/12/01,7,361.0
SC25,2023/12/01,8,791.0
SC25,2023/12/01,9,861.0
SC25,2023/12/01,10,728.0
SC25,2023/12/01,11,629.0
SC25,2023/12/01,12,751.0
SC25,2023/12/01,13,2666.0
SC25,2023/12/01,14,2535.0
SC25,2023/12/01,15,2342.0
SC25,2023/12/01,16,2372.0
SC25,2023/12/01,17,3392.0
SC25,2023/12/01,18,4341.0
SC25,2023/12/01,19,7137.0
SC25,2023/12/01,20,6913.0
SC25,2023/12/01,21,8271.0
SC25,2023/12/01,22,7095.0
SC25,2023/12/01,23,5575.0
SC25,2023/12/02,0,6018.0
SC25,2023/12/02,1,2008.0
SC25,2023/12/02,2,1351.0
SC25,2023/12/02,3,2031.0
SC25,2023/12/02,4,1816.0
SC25,2023/12/02,5,224.0
SC25,2023/12/02,6,4.0
SC25,2023/12/02,7,406.0
SC25,2023/12/02,8,784.0
SC25,2023/12/02,9,763.0
SC25,2023/12/02,10,684.0
SC25,2023/12/02,11,634.0
SC25,2023/12/02,12,747.0
SC25,2023/12/02,13,2277.0
SC25,2023/12/02,14,2317.0
SC25,2023/12/02,15,2327.0
SC25,2023/12/02,16,1958.0
SC25,2023/12/02,17,3922.0
SC25,2023/12/02,18,4838.0
SC25,2023/12/02,19,5755.0
SC25,2023/12/02,20,6806.0
SC25,2023/12/02,21,7908.0
SC25,2023/12/02,22,7120.0
SC25,2023/12/02,23,5599.0
SC25,2023/12/03,0,5615.0
SC25,2023/12/03,1,2065.0
SC25,2023/12/03,2,693.0
SC25,2023/12/03,3,2000.0
SC25,2023/12/03,4,1796.0
SC25,2023/12/03,5,351.0
SC25,2023/12/03,6,2.0
SC25,2023/12/03,7,364.0
SC25,2023/12/03,8,713.0
SC25,2023/12/03,9,577.0
SC25,2023/12/03,10,685.0
SC25,2023/12/03,11,739.0
SC25,2023/12/03,12,951.0
SC25,2023/12/03,13,2479.0
SC25,2023/12/03,14,2902.0
SC25,2023/12/03,15,2206.0
SC25,2023/12/03,16,1716.0
SC25,2023/12/03,17,3846.0
SC25,2023/12/03,18,3760.0
SC25,2023/12/03,19,5662.0
SC25,2023/12/03,20,6703.0
SC25,2023/12/03,21,7187.0
SC25,2023/12/03,22,6482.0
SC25,2023/12/03,23,5399.0
SC25,2023/12/04,0,5046.0
SC25,2023/12/04,1,1952.0
SC25,2023/12/04,2,743.0
SC25,2023/12/04,3,1958.0
SC25,2023/12/04,4,1853.0
SC25,2023/12/04,5,360.0
SC25,2023/12/04,6,3.0
SC25,2023/12/04,7,415.0
SC25,2023/12/04,8,645.0
SC25,2023/12/04,9,725.0
SC25,2023/12/04,10,620.0
SC25,2023/12/04,11,743.0
SC25,2023/12/04,12,926.0
SC25,2023/12/04,13,2531.0
SC25,2023/12/04,14,3413.0
SC25,2023/12/04,15,2125.0
SC25,2023/12/04,16,2144.0
SC25,2023/12/04,17,4078.0
SC25,2023/12/04,18,4262.0
SC25,2023/12/04,19,6401.0
SC25,2023/12/04,20,6635.0
SC25,2023/12/04,21,6611.0
SC25,2023/12/04,22,6269.0
SC25,2023/12/04,23,5800.0
SC25,2023/12/05,0,6107.0
SC25,2023/12/05,1,1918.0
SC25,2023/12/05,2,877.0
SC25,2023/12/05,3,1797.0
SC25,2023/12/05,4,1953.0
SC25,2023/12/05,5,282.0
SC25,2023/12/05,6,1.0
SC25,2023/12/05,7,350.0
SC25,2023/12/05,8,623.0
SC25,2023/12/05,9,773.0
SC25,2023/12/05,10,596.0
SC25,2023/12/05,11,559.0
SC25,2023/12/05,12,749.0
SC25,2023/12/05,13,2649.0
SC25,2023/12/05,14,2674.0
SC25,2023/12/05,15,1834.0
SC25,2023/12/05,16,2021.0
SC25,2023/12/05,17,3217.0
SC25,2023/12/05,18,4127.0
SC25,2023/12/05,19,6000.0
SC25,2023/12/05,20,6474.0
SC25,2023/12/05,21,6621.0
SC25,2023/12/05,22,6642.0
SC25,2023/12/05,23,5311.0
SC25,2023/12/06,0,5296.0
SC25,2023/12/06,1,1743.0
SC25,2023/12/06,2,1017.0
SC25,2023/12/06,3,1665.0
SC25,2023/12/06,4,1869.0
SC25,2023/12/06,5,205.0
SC25,2023/12/06,6,2.0
SC25,2023/12/06,7,350.0
SC25,2023/12/06,8,648.0
SC25,2023/12/06,9,645.0
SC25,2023/12/06,10,563.0
SC25,2023/12/06,11,560.0
SC25,2023/12/06,12,490.0
SC25,2023/12/06,13,2588.0
SC25,2023/12/06,14,2089.0
SC25,2023/12/06,15,1722.0
SC25,2023/12/06,16,2302.0
SC25,2023/12/06,17,3816.0
SC25,2023/12/06,18,3825.0
SC25,2023/12/06,19,5301.0
SC25,2023/12/06,20,6571.0
SC25,2023/12/06,21,7115.0
SC25,2023/12/06,22,7839.0
SC25,2023/12/06,23,5772.0
SC25,2023/12/07,0,5519.0
SC25,2023/12/07,1,1589.0
SC25,2023/12/07,2,1353.0
SC25,2023/12/07,3,1592.0
SC25,2023/12/07,4,1947.0
SC25,2023/12/07,5,200.0
SC25,2023/12/07,6,1.0
SC25,2023/12/07,7,355.0
SC25,2023/12/07,8,640.0
SC25,2023/12/07,9,735.0
SC25,2023/12/07,10,500.0
SC25,2023/12/07,11,609.0
SC25,2023/12/07,12,466.0
SC25,2023/12/07,13,2586.0
SC25,2023/12/07,14,2253.0
SC25,2023/12/07,15,1861.0
SC25,2023/12/07,16,1797.0
SC25,2023/12/07,17,3386.0
SC25,2023/12/07,18,4252.0
SC25,2023/12/07,19,5406.0
SC25,2023/12/07,20,6658.0
SC25,2023/12/07,21,7491.0
SC25,2023/12/07,22,7565.0
SC25,2023/12/07,23,5108.0
SC25,2023/12/08,0,4724.0
SC25,2023/12/08,1,1685.0
SC25,2023/12/08,2,1685.0
SC25,2023/12/08,3,1578.0
SC25,2023/12/08,4,1803.0
SC25,2023/12/08,5,195.0
SC25,2023/12/08,6,0.0
SC25,2023/12/08,7,335.0
SC25,2023/12/08,8,641.0
SC25,2023/12/08,9,777.0
SC25,2023/12/08,10,547.0
SC25,2023/12/08,11,597.0
SC25,2023/12/08,12,592.0
SC25,2023/12/08,13,2764.0
SC25,2023/12/08,14,2239.0
SC25,2023/12/08,15,1805.0
SC25,2023/12/08,16,1558.0
SC25,2023/12/08,17,4010.0
SC25,2023/12/08,18,4427.0
SC25,2023/12/08,19,6225.0
SC25,2023/12/08,20,6390.0
SC25,2023/12/08,21,7674.0
SC25,2023/12/08,22,6960.0
SC25,2023/12/08,23,5034.0
SC25,2023/12/09,0,4779.0
SC25,2023/12/09,1,1746.0
SC25,2023/12/09,2,1562.0
SC25,2023/12/09,3,1447.0
SC25,2023/12/09,4,1757.0
SC25,2023/12/09,5,165.0
SC25,2023/12/09,6,0.0
SC25,2023/12/09,7,364.0
SC25,2023/12/09,8,648.0
SC25,2023/12/09,9,694.0
SC25,2023/12/09,10,504.0
SC25,2023/12/09,11,516.0
SC25,2023/12/09,12,646.0
SC25,2023/12/09,13,2498.0
SC25,2023/12/09,14,2245.0
SC25,2023/12/09,15,1854.0
SC25,2023/12/09,16,1937.0
SC25,2023/12/09,17,3712.0
SC25,2023/12/09,18,4365.0
SC25,2023/12/09,19,4883.0
SC25,2023/12/09,20,6401.0
SC25,2023/12/09,21,7871.0
SC25,2023/12/09,22,6535.0
SC25,2023/12/09,23,5170.0
SC25,2023/12/10,0,4795.0
SC25,2023/12/10,1,1605.0
SC25,2023/12/10,2,1253.0
SC25,2023/12/10,3,1703.0
SC25,2023/12/10,4,1809.0
SC25,2023/12/10,5,246.0
SC25,2023/12/10,6,0.0
SC25,2023/12/10,7,337.0
SC25,2023/12/10,8,675.0
SC25,2023/12/10,9,732.0
SC25,2023/12/10,10,517.0
SC25,2023/12/10,11,456.0
SC25,2023/12/10,12,603.0
SC25,2023/12/10,13,2543.0
SC25,2023/12/10,14,2270.0
SC25,2023/12/10,15,1885.0
SC25,2023/12/10,16,1787.0
SC25,2023/12/10,17,3621.0
SC25,2023/12/10,18,3739.0
SC25,2023/12/10,19,4980.0
SC25,2023/12/10,20,6568.0
SC25,2023/12/10,21,7655.0
SC25,2023/12/10,22,6666.0
SC25,2023/12/10,23,5017.0
SC25,2023/12/11,0,4489.0
SC25,2023/12/11,1,1591.0
SC25,2023/12/11,2,1090.0
SC25,2023/12/11,3,1930.0
SC25,2023/12/11,4,1891.0
SC25,2023/12/11,5,238.0
SC25,2023/12/11,6,2.0
SC25,2023/12/11,7,353.0
SC25,2023/12/11,8,691.0
SC25,2023/12/11,9,746.0
SC25,2023/12/11,10,536.0
SC25,2023/12/11,11,496.0
SC25,2023/12/11,12,484.0
SC25,2023/12/11,13,2491.0
SC25,2023/12/11,14,2699.0
SC25,2023/12/11,15,1893.0
SC25,2023/12/11,16,2123.0
SC25,2023/12/11,17,3486.0
SC25,2023/12/11,18,4344.0
SC25,2023/12/11,19,6696.0
SC25,2023/12/11,20,6531.0
SC25,2023/12/11,21,7648.0
SC25,2023/12/11,22,6572.0
SC25,2023/12/11,23,5314.0
SC25,2023/12/12,0,4600.0
SC25,2023/12/12,1,1676.0
SC25,2023/12/12,2,750.0
SC25,2023/12/12,3,1852.0
SC25,2023/12/12,4,1831.0
SC25,2023/12/12,5,192.0
SC25,2023/12/12,6,2.0
SC25,2023/12/12,7,347.0
SC25,2023/12/12,8,695.0
SC25,2023/12/12,9,673.0
SC25,2023/12/12,10,532.0
SC25,2023/12/12,11,535.0
SC25,2023/12/12,12,509.0
SC25,2023/12/12,13,2452.0
SC25,2023/12/12,14,2368.0
SC25,2023/12/12,15,1870.0
SC25,2023/12/12,16,2008.0
SC25,2023/12/12,17,3533.0
SC25,2023/12/12,18,4290.0
SC25,2023/12/12,19,6428.0
SC25,2023/12/12,20,6496.0
SC25,2023/12/12,21,7462.0
SC25,2023/12/12,22,6263.0
SC25,2023/12/12,23,4753.0
SC25,2023/12/13,0,3777.0
SC25,2023/12/13,1,1651.0
SC25,2023/12/13,2,636.0
SC25,2023/12/13,3,1944.0
SC25,2023/12/13,4,1876.0
SC25,2023/12/13,5,234.0
SC25,2023/12/13,6,1.0
SC25,2023/12/13,7,338.0
SC25,2023/12/13,8,684.0
SC25,2023/12/13,9,690.0
SC25,2023/12/13,10,536.0
SC25,2023/12/13,11,487.0
SC25,2023/12/13,12,599.0
SC25,2023/12/13,13,2557.0
SC25,2023/12/13,14,2354.0
SC25,2023/12/13,15,1745.0
SC25,2023/12/13,16,1666.0
SC25,2023/12/13,17,3837.0
SC25,2023/12/13,18,4147.0
SC25,2023/12/13,19,5303.0
SC25,2023/12/13,20,6475.0
SC25,2023/12/13,21,6923.0
SC25,2023/12/13,22,6830.0
SC25,2023/12/13,23,5022.0
SC25,2023/12/14,0,4494.0
SC25,2023/12/14,1,1619.0
SC25,2023/12/14,2,836.0
SC25,2023/12/14,3,1910.0
SC25,2023/12/14,4,1793.0
SC25,2023/12/14,5,242.0
SC25,2023/12/14,6,1.0
SC25,2023/12/14,7,340.0
SC25,2023/12/14,8,665.0
SC25,2023/12/14,9,711.0
SC25,2023/12/14,10,524.0
SC25,2023/12/14,11,445.0
SC25,2023/12/14,12,636.0
SC25,2023/12/14,13,2610.0
SC25,2023/12/14,14,2829.0
SC25,2023/12/14,15,1701.0
SC25,2023/12/14,16,1732.0
SC25,2023/12/14,17,3546.0
SC25,2023/12/14,18,4093.0
SC25,2023/12/14,19,5601.0
SC25,2023/12/14,20,6408.0
SC25,2023/12/14,21,6739.0
SC25,2023/12/14,22,7478.0
SC25,2023/12/14,23,4710.0
SC25,2023/12/15,0,4193.0
SC25,2023/12/15,1,1589.0
SC25,2023/12/15,2,1123.0
SC25,2023/12/15,3,1741.0
SC25,2023/12/15,4,1775.0
SC25,2023/12/15,5,223.0
SC25,2023/12/15,6,0.0
SC25,2023/12/15,7,320.0
SC25,2023/12/15,8,642.0
SC25,2023/12/15,9,665.0
SC25,2023/12/15,10,513.0
SC25,2023/12/15,11,457.0
SC25,2023/12/15,12,577.0
SC25,2023/12/15,13,2690.0
SC25,2023/12/15,14,3049.0
SC25,2023/12/15,15,1624.0
SC25,2023/12/15,16,1645.0
SC25,2023/12/15,17,3755.0
SC25,2023/12/15,18,4173.0
SC25,2023/12/15,19,6341.0
SC25,2023/12/15,20,6431.0
SC25,2023/12/15,21,6982.0
SC25,2023/12/15,22,7411.0
SC25,2023/12/15,23,4678.0
SC25,2023/12/16,0,4312.0
SC25,2023/12/16,1,1504.0
SC25,2023/12/16,2,1248.0
SC25,2023/12/16,3,1662.0
SC25,2023/12/16,4,1826.0
SC25,2023/12/16,5,191.0
SC25,2023/12/16,6,1.0
SC25,2023/12/16,7,323.0
SC25,2023/12/16,8,622.0
SC25,2023/12/16,9,678.0
SC25,2023/12/16,10,495.0
SC25,2023/12/16,11,483.0
SC25,2023/12/16,12,462.0
SC25,2023/12/16,13,2589.0
SC25,2023/12/16,14,2642.0
SC25,2023/12/16,15,1556.0
SC25,2023/12/16,16,1946.0
SC25,2023/12/16,17,3380.0
SC25,2023/12/16,18,4129.0
SC25,2023/12/16,19,5582.0
SC25,2023/12/16,20,6429.0
SC25,2023/12/16,21,7360.0
SC25,2023/12/16,22,6533.0
SC25,2023/12/16,23,4749.0
SC25,2023/12/17,0,4325.0
SC25,2023/12/17,1,1465.0
SC25,2023/12/17,2,1416.0
SC25,2023/12/17,3,1551.0
SC25,2023/12/17,4,1851.0
SC25,2023/12/17,5,176.0
SC25,2023/12/17,6,0.0
SC25,2023/12/17,7,319.0
SC25,2023/12/17,8,599.0
SC25,2023/12/17,9,707.0
SC25,2023/12/17,10,460.0
SC25,2023/12/17,11,464.0
SC25,2023/12/17,12,436.0
SC25,2023/12/17,13,2581.0
SC25,2023/12/17,14,2272.0
SC25,2023/12/17,15,1536.0
SC25,2023/12/17,16,1900.0
SC25,2023/12/17,17,3609.0
SC25,2023/12/17,18,3971.0
SC25,2023/12/17,19,4836.0
SC25,2023/12/17,20,6320.0
SC25,2023/12/17,21,7802.0
SC25,2023/12/17,22,6164.0
SC25,2023/12/17,23,4523.0
SC25,2023/12/18,0,3969.0
SC25,2023/12/18,1,1482.0
SC25,2023/12/18,2,1367.0
SC25,2023/12/18,3,1439.0
SC25,2023/12/18,4,1818.0
SC25,2023/12/18,5,169.0
SC25,2023/12/18,6,0.0
SC25,2023/12/18,7,318.0
SC25,2023/12/18,8,578.0
SC25,2023/12/18,9,682.0
SC25,2023/12/18,10,452.0
SC25,2023/12/18,11,412.0
SC25,2023/12/18,12,458.0
SC25,2023/12/18,13,2593.0
SC25,2023/12/18,14,2404.0
SC25,2023/12/18,15,1511.0
SC25,2023/12/18,16,1645.0
SC25,2023/12/18,17,3555.0
SC25,2023/12/18,18,4324.0
SC25,2023/12/18,19,6077.0
SC25,2023/12/18,20,6305.0
SC25,2023/12/18,21,7854.0
SC25,2023/12/18,22,6420.0
SC25,2023/12/18,23,4750.0
SC25,2023/12/19,0,4585.0
SC25,2023/12/19,1,1444.0
SC25,2023/12/19,2,1068.0
SC25,2023/12/19,3,1434.0
SC25,2023/12/19,4,1810.0
SC25,2023/12/19,5,152.0
SC25,2023/12/19,6,0.0
SC25,2023/12/19,7,321.0
SC25,2023/12/19,8,559.0
SC25,2023/12/19,9,684.0
SC25,2023/12/19,10,430.0
SC25,2023/12/19,11,394.0
SC25,2023/12/19,12,470.0
SC25,2023/12/19,13,2492.0
SC25,2023/12/19,14,2376.0
SC25,2023/12/19,15,1525.0
SC25,2023/12/19,16,1647.0
SC25,2023/12/19,17,3692.0
SC25,2023/12/19,18,4137.0
SC25,2023/12/19,19,5948.0
SC25,2023/12/19,20,6349.0
SC25,2023/12/19,21,7737.0
SC25,2023/12/19,22,6552.0
SC25,2023/12/19,23,4326.0
SC25,2023/12/20,0,4260.0
SC25,2023/12/20,1,1388.0
SC25,2023/12/20,2,831.0
SC25,2023/12/20,3,1615.0
SC25,2023/12/20,4,1769.0
SC25,2023/12/20,5,165.0
SC25,2023/12/20,6,0.0
SC25,2023/12/20,7,314.0
SC25,2023/12/20,8,556.0
SC25,2023/12/20,9,702.0
SC25,2023/12/20,10,413.0
SC25,2023/12/20,11,406.0
SC25,2023/12/20,12,427.0
SC25,2023/12/20,13,2507.0
SC25,2023/12/20,14,2221.0
SC25,2023/12/20,15,1510.0
SC25,2023/12/20,16,1456.0
SC25,2023/12/20,17,3546.0
SC25,2023/12/20,18,4046.0
SC25,2023/12/20,19,4799.0
SC25,2023/12/20,20,6329.0
SC25,2023/12/20,21,7561.0
SC25,2023/12/20,22,6468.0
SC25,2023/12/20,23,4482.0
SC25,2023/12/21,0,4543.0
SC25,2023/12/21,1,1394.0
SC25,2023/12/21,2,721.0
SC25,2023/12/21,3,1717.0
SC25,2023/12/21,4,1763.0
SC25,2023/12/21,5,159.0
SC25,2023/12/21,6,1.0
SC25,2023/12/21,7,315.0
SC25,2023/12/21,8,558.0
SC25,2023/12/21,9,681.0
SC25,2023/12/21,10,410.0
SC25,2023/12/21,11,397.0
SC25,2023/12/21,12,360.0
SC25,2023/12/21,13,2519.0
SC25,2023/12/21,14,2435.0
SC25,2023/12/21,15,1494.0
SC25,2023/12/21,16,1654.0
SC25,2023/12/21,17,3471.0
SC25,2023/12/21,18,4042.0
SC25,2023/12/21,19,5591.0
SC25,2023/12/21,20,6311.0
SC25,2023/12/21,21,7282.0
SC25,2023/12/21,22,6709.0
SC25,2023/12/21,23,4317.0
SC25,2023/12/22,0,4171.0
SC25,2023/12/22,1,1399.0
SC25,2023/12/22,2,676.0
SC25,2023/12/22,3,1746.0
SC25,2023/12/22,4,1801.0
SC25,2023/12/22,5,146.0
SC25,2023/12/22,6,1.0
SC25,2023/12/22,7,308.0
SC25,2023/12/22,8,565.0
SC25,2023/12/22,9,672.0
SC25,2023/12/22,10,406.0
SC25,2023/12/22,11,362.0
SC25,2023/12/22,12,355.0
SC25,2023/12/22,13,2579.0
SC25,2023/12/22,14,2551.0
SC25,2023/12/22,15,1477.0
SC25,2023/12/22,16,1791.0
SC25,2023/12/22,17,3553.0
SC25,2023/12/22,18,4213.0
SC25,2023/12/22,19,6662.0
SC25,2023/12/22,20,6299.0
SC25,2023/12/22,21,7100.0
SC25,2023/12/22,22,7226.0
SC25,2023/12/22,23,4276.0
SC25,2023/12/23,0,4255.0
SC25,2023/12/23,1,1375.0
SC25,2023/12/23,2,792.0
SC25,2023/12/23,3,1863.0
SC25,2023/12/23,4,1815.0
SC25,2023/12/23,5,159.0
SC25,2023/12/23,6,1.0
SC25,2023/12/23,7,303.0
SC25,2023/12/23,8,568.0
SC25,2023/12/23,9,680.0
SC25,2023/12/23,10,405.0
SC25,2023/12/23,11,340.0
SC25,2023/12/23,12,384.0
SC25,2023/12/23,13,2621.0
SC25,2023/12/23,14,2416.0
SC25,2023/12/23,15,1431.0
SC25,2023/12/23,16,1671.0
SC25,2023/12/23,17,3466.0
SC25,2023/12/23,18,4122.0
SC25,2023/12/23,19,5822.0
SC25,2023/12/23,20,6270.0
SC25,2023/12/23,21,6988.0
SC25,2023/12/23,22,7019.0
SC25,2023/12/23,23,4326.0
SC25,2023/12/24,0,4425.0
SC25,2023/12/24,1,1359.0
SC25,2023/12/24,2,1068.0
SC25,2023/12/24,3,1819.0
SC25,2023/12/24,4,1786.0
SC25,2023/12/24,5,163.0
SC25,2023/12/24,6,1.0
SC25,2023/12/24,7,299.0
SC25,2023/12/24,8,572.0
SC25,2023/12/24,9,664.0
SC25,2023/12/24,10,403.0
SC25,2023/12/24,11,348.0
SC25,2023/12/24,12,409.0
SC25,2023/12/24,13,2632.0
SC25,2023/12/24,14,2353.0
SC25,2023/12/24,15,1394.0
SC25,2023/12/24,16,1626.0
SC25,2023/12/24,17,3632.0
SC25,2023/12/24,18,4022.0
SC25,2023/12/24,19,4906.0
SC25,2023/12/24,20,6269.0
SC25,2023/12/24,21,6995.0
SC25,2023/12/24,22,6250.0
SC25,2023/12/24,23,4081.0
SC25,2023/12/25,0,4125.0
SC25,2023/12/25,1,1332.0
SC25,2023/12/25,2,1196.0
SC25,2023/12/25,3,1708.0
SC25,2023/12/25,4,1777.0
SC25,2023/12/25,5,159.0
SC25,2023/12/25,6,0.0
SC25,2023/12/25,7,294.0
SC25,2023/12/25,8,574.0
SC25,2023/12/25,9,657.0
SC25,2023/12/25,10,402.0
SC25,2023/12/25,11,355.0
SC25,2023/12/25,12,388.0
SC25,2023/12/25,13,2628.0
SC25,2023/12/25,14,2745.0
SC25,2023/12/25,15,1347.0
SC25,2023/12/25,16,1426.0
SC25,2023/12/25,17,3482.0
SC25,2023/12/25,18,4152.0
SC25,2023/12/25,19,5886.0
SC25,2023/12/25,20,6253.0
SC25,2023/12/25,21,7339.0
SC25,2023/12/25,22,5886.0
SC25,2023/12/25,23,4249.0
SC25,2023/12/26,0,4337.0
SC25,2023/12/26,1,1294.0
SC25,2023/12/26,2,1201.0
SC25,2023/12/26,3,1642.0
SC25,2023/12/26,4,1754.0
SC25,2023/12/26,5,148.0
SC25,2023/12/26,6,0.0
SC25,2023/12/26,7,294.0
SC25,2023/12/26,8,573.0
SC25,2023/12/26,9,665.0
SC25,2023/12/26,10,399.0
SC25,2023/12/26,11,337.0
SC25,2023/12/26,12,346.0
SC25,2023/12/26,13,2549.0
SC25,2023/12/26,14,2863.0
SC25,2023/12/26,15,1311.0
SC25,2023/12/26,16,1513.0
SC25,2023/12/26,17,3521.0
SC25,2023/12/26,18,4056.0
SC25,2023/12/26,19,6254.0
SC25,2023/12/26,20,6201.0
SC25,2023/12/26,21,7682.0
SC25,2023/12/26,22,6264.0
SC25,2023/12/26,23,3961.0
SC25,2023/12/27,0,3811.0
SC25,2023/12/27,1,1278.0
SC25,2023/12/27,2,1126.0
SC25,2023/12/27,3,1489.0
SC25,2023/12/27,4,1756.0
SC25,2023/12/27,5,141.0
SC25,2023/12/27,6,0.0
SC25,2023/12/27,7,291.0
SC25,2023/12/27,8,565.0
SC25,2023/12/27,9,659.0
SC25,2023/12/27,10,387.0
SC25,2023/12/27,11,318.0
SC25,2023/12/27,12,334.0
SC25,2023/12/27,13,2534.0
SC25,2023/12/27,14,2561.0
SC25,2023/12/27,15,1285.0
SC25,2023/12/27,16,1630.0
SC25,2023/12/27,17,3408.0
SC25,2023/12/27,18,4061.0
SC25,2023/12/27,19,4906.0
SC25,2023/12/27,20,6181.0
SC25,2023/12/27,21,7849.0
SC25,2023/12/27,22,6603.0
SC25,2023/12/27,23,4049.0
SC25,2023/12/28,0,4100.0
SC25,2023/12/28,1,1263.0
SC25,2023/12/28,2,936.0
SC25,2023/12/28,3,1380.0
SC25,2023/12/28,4,1779.0
SC25,2023/12/28,5,136.0
SC25,2023/12/28,6,0.0
SC25,2023/12/28,7,290.0
SC25,2023/12/28,8,552.0
SC25,2023/12/28,9,654.0
SC25,2023/12/28,10,379.0
SC25,2023/12/28,11,317.0
SC25,2023/12/28,12,341.0
SC25,2023/12/28,13,2534.0
SC25,2023/12/28,14,2417.0
SC25,2023/12/28,15,1259.0
SC25,2023/12/28,16,1603.0
SC25,2023/12/28,17,3520.0
SC25,2023/12/28,18,4066.0
SC25,2023/12/28,19,5204.0
SC25,2023/12/28,20,6181.0
SC25,2023/12/28,21,7811.0
